osm_relationId,wdId
2940,Q551240
16794,Q17078
21067,Q34536
21094,Q34538
21169,Q34541
21432,Q17081
22027,Q8165
49899,Q334428
60105,Q574723
62341,Q1200
62347,Q2910
62577,Q8177
62610,Q8554
62611,Q985
62650,Q1199
62691,Q2119
62730,Q7917
68546,Q1952690
68668,Q1875414
72914,Q525148
75818,Q1250345
80452,Q17434401
85936,Q637808
123881,Q1673
123924,Q584
163730,Q629101
286590,Q7932
454170,Q81099
454171,Q22958
454172,Q83225
454173,Q83154
454175,Q7050
454176,Q81012
454177,Q81620
454178,Q83292
454179,Q83255
537050,Q16099
537051,Q16055
537052,Q524939
537056,Q524407
537062,Q512538
537063,Q1538518
550314,Q9016
550315,Q9016
550581,Q82922
1251551,Q1550482
1303355,Q1667027
1330244,Q881433
1434066,Q525148
1608541,Q2138195
1781296,Q564867
2006011,Q1615949
2078072,Q34556
2211086,Q9378554
2306512,Q687438
2814657,Q1878371
3146273,Q1007965
3146337,Q1008364
3146833,Q1008265
3146836,Q1008391
3286564,Q1749399
3286567,Q1973732
3286571,Q1677362
3742148,Q1535360
4234481,Q799057
4237185,Q1307253
4240683,Q318849
4520918,Q872084
7175109,Q1464709

