osm_type,osm_id,wd_id,centroid
n,254525765,Q3739,edhgmrkc0x0
n,293456184,Q771106,edhqx3y48n2
n,424297609,Q1007,edjkufwpu64
n,1042041230,Q1257520,edh8r8e5cgx
n,1440998494,Q799788,edjt4xbjn09
n,1440998509,Q1771240,edj281gmrsn
n,1440998537,Q681802,edhczgek869
n,1440998555,Q997402,edj3fy30hje
n,1440998579,Q3649380,e9vr61yxzpb
n,1440998598,Q3649970,edh7z7gmm2u
n,1440998628,Q1190869,edj0hy5g7r7
n,1440998641,Q5194063,edhgww2hn01
n,1440998649,Q2427704,edj4yz818rw
n,1440998654,Q15229087,edj5dg9g5er
n,1440998660,Q1771572,edhuj1dd5v4
n,1440998661,Q7092150,edhdvmth1p4
n,1440998683,Q616404,edhexm32tsr
n,1440998693,Q1770375,edhgusjhqzs
n,1440998707,Q3991840,edj518d3jkd
n,1562926028,Q1368576,edjhekwvp74
n,1581753513,Q54423464,edhg5f63qez
n,1581753578,Q54423584,edhgjpzwkpj
n,1944578267,Q572152,edjj83jp5ts
n,1944611258,Q1022984,edjpj8m7h96
n,1944611269,Q1771615,edjjyy086z4
n,1944611270,Q2319233,edhufkr9e00
n,1944642782,Q5001021,ednq9qt77k9
n,1944642790,Q1015891,edjvu7bgs38
n,1944642904,Q1770386,edjkmuff5yp
n,1944704308,Q1024921,edjfudecth6
n,1944704595,Q1771273,ednn47ykcn6
n,2293469593,Q1002807,edhtb4mndtr
n,2297815355,Q1318022,edhsehtuj25
n,2298095019,Q2421311,edhyy2x2p13
n,2299114800,Q1771304,edmbjckf4cs
n,2316595786,Q5033471,ednpscvgss8
n,3803547248,Q997407,edh8r8z6h6t
n,3803732657,Q3724794,edj1tmp8nkw
n,3805092062,Q5032491,edjusnqr6vg
n,3844208941,Q5192653,edj0nefq84k
n,4253996166,Q7665748,edhv97jcw7n
n,5644121077,Q54429874,edhczgvqmgz
r,192775,Q1041,
r,192776,Q1007,
r,192778,Q1006,
r,301631,Q1157731,
r,1761578,Q799791,
r,1761579,Q872228,
r,1761580,Q1318549,
r,1761581,Q151909,
r,1761582,Q780838,
r,1761583,Q872212,
r,1761584,Q853991,
r,1761585,Q862617,
r,1761586,Q1047255,
r,1761591,Q16501677,
r,1761593,Q1024921,
r,1761596,Q2319233,
r,1761613,Q1771273,
r,1761620,Q771106,
r,1761621,Q3991840,
r,1763231,Q475307,
r,2559767,Q2296509,
r,2909649,Q822692,
r,3308997,Q614669,
r,3309030,Q1781312,
r,3309644,Q862611,
r,3405108,Q738081,
r,3405259,Q589848,
r,3663542,Q13378473,
r,3663587,Q13378475,
r,3663636,Q13378476,
r,4224784,Q2411947,
r,4228635,Q201520,
r,4229819,Q1411475,
r,4229820,Q3327006,
r,5559538,Q738081,
r,5559573,Q2066279,
r,5568936,Q2087556,
r,5582255,Q2445908,
r,5608500,Q1432281,
r,5653031,Q10361613,
r,8081327,Q664687,
r,8333069,Q54555780,
r,8438627,Q7899538,
w,129978962,Q4118209,
w,130176846,Q5402072,
w,189379837,Q54503740,
w,189379842,Q54499940,
w,189379850,Q54443399,
w,376489547,Q54441307,
w,376490398,Q54499497,
w,376492480,Q54369150,
w,376492564,Q54493976,
w,376492565,Q54442056,
w,381559574,Q11824336,
w,493089850,Q54426624,
w,493089858,Q54555499,
w,493091504,Q54444062,
w,493091512,Q54425405,
w,493091513,Q54555319,
w,493091516,Q54503140,
w,493091520,Q54502584,
w,496866228,Q48862631,
w,496869056,Q54555754,
w,496871830,Q54370779,
w,542098660,Q54554994,
w,591222457,Q54221765,
w,591223223,Q54491790,
w,591259418,Q54447839,
w,591259419,Q54445732,
w,591259421,Q54428710,
w,591260067,Q54494442,
w,591272429,Q54446658,
w,591882818,Q54531095,
