@type,@id,wikidata,"name"
node,254525765,Q3739,"Bissau"
node,293456184,Q771106,"São Domingos"
node,424297609,Q1007,"Guiné-Bissau"
node,1042041230,Q1257520,"Bubaque Airport"
node,1440998494,Q799788,"Bafatá"
node,1440998509,Q1771240,"Bedanda"
node,1440998537,Q681802,"Bolama"
node,1440998555,Q997402,"Buba"
node,1440998579,Q3649380,"Cacine"
node,1440998598,Q3649970,"Caió"
node,1440998628,Q1190869,"Catió"
node,1440998641,Q5194063,"Cumeré"
node,1440998649,Q2427704,"Fulacunda"
node,1440998654,Q15229087,"Jabadá"
node,1440998660,Q1771572,"Nhacra"
node,1440998661,Q7092150,"Ondame"
node,1440998683,Q616404,"Quinhámel"
node,1440998693,Q1770375,"Safim"
node,1440998707,Q3991840,"Tite"
node,1562926028,Q1368576,"Mansôa"
node,1581753513,Q54423464,"Farol da Ponta Bernafel"
node,1581753578,Q54423584,"Farol do Ilhéu dos Pássaros"
node,1944578267,Q572152,"Bissorã"
node,1944611258,Q1022984,"Farim"
node,1944611269,Q1771615,"Mansaba"
node,1944611270,Q2319233,"Bula"
node,1944642782,Q5001021,"Buruntuma"
node,1944642790,Q1015891,"Gabú"
node,1944642904,Q1770386,"Bambadinca"
node,1944704308,Q1024921,"Boé"
node,1944704595,Q1771273,"Pitche"
node,2293469593,Q1002807,"Cacheu"
node,2297815355,Q1318022,"Canchungo"
node,2298095019,Q2421311,"Bigene"
node,2299114800,Q1771304,"Pirada"
node,2316595786,Q5033471,"Canquelifá"
node,3803547248,Q997407,"Bubaque"
node,3803732657,Q3724794,"Empada"
node,3805092062,Q5032491,"Canjadude"
node,3844208941,Q5192653,"Cufar"
node,4253996166,Q7665748,"São Vicente"
node,5644121077,Q54429874,"Monumento aos Aviadores Italianos"
way,129978962,Q4118209,"Estádio Nacional 24 de Setembro"
way,130176846,Q5402072,"Estadio Lino Correia"
way,189379837,Q54503740,"Rua João Chagas"
way,189379842,Q54499940,"Rua de Faro"
way,189379850,Q54443399,"Avenida Almirante Cândido dos Reis"
way,376489547,Q54441307,"Capitania do Porto de Bolama"
way,376490398,Q54499497,"Rua de Cascais"
way,376492480,Q54369150,"Avenida Amílcar Cabral"
way,376492564,Q54493976,"Rua João Marques de Barros"
way,376492565,Q54442056,"Rua Machado dos Santos"
way,381559574,Q11824336,"Aeroporto de Cufar"
way,493089850,Q54426624,"Palácio do Governador"
way,493089858,Q54555499,"Casa Soller"
way,493091504,Q54444062,"Casa Lourenço Marques Duarte"
way,493091512,Q54425405,"Centro de Formação Pesqueira de Bolama"
way,493091513,Q54555319,"Cine Bolama"
way,493091516,Q54503140,"Nightclub San-Bras / Som das Ilhas"
way,493091520,Q54502584,"Direcção Regional dos Serviços da Educação de Bolama Bijagós"
way,496866228,Q48862631,"Palácio de Bolama"
way,496869056,Q54555754,"Gam Crioulo / Casa de António dos Santos Teixeira"
way,496871830,Q54370779,"Igreja de São José"
way,542098660,Q54554994,"Casa Cadogo"
way,591222457,Q54221765,"Banco Nacional Ultramarino / Hotel de Turismo"
way,591223223,Q54491790,"Praça Ulysses S. Grant"
way,591259418,Q54447839,"Quartel General"
way,591259419,Q54445732,"Hospital Militar e Civil"
way,591259421,Q54428710,"Largo D. Luís I"
way,591260067,Q54494442,"Armazéns da Casa Gouveia"
way,591272429,Q54446658,"Castelo"
way,591882818,Q54531095,"Campo de andebol"
relation,192776,Q1007,"Guiné-Bissau"
relation,301631,Q1157731,"Trans-West African Coastal Highway"
relation,1761578,Q799791,"Região de Bafatá"
relation,1761579,Q872228,"Região de Biombo"
relation,1761580,Q1318549,"Sector autónomo de Bissau"
relation,1761581,Q151909,"Região de Bolama"
relation,1761582,Q780838,"Região de Cacheu"
relation,1761583,Q872212,"Região de Gabu"
relation,1761584,Q853991,"Região de Oio"
relation,1761585,Q862617,"Região de Quinara"
relation,1761586,Q1047255,"Região de Tombali"
relation,1761591,Q16501677,"Setor de Bissorã"
relation,1761593,Q1024921,"Setor de Madina do Boé"
relation,1761596,Q2319233,"Setor de Bula"
relation,1761613,Q1771273,"Setor de Pitche"
relation,1761620,Q771106,"Setor de São Domingos"
relation,1761621,Q3991840,"Setor de Tite"
relation,1763231,Q475307,"Ilha de Pecixe"
relation,2559767,Q2296509,"Ilha Uno"
relation,3663542,Q13378473,"Provincia Leste"
relation,3663587,Q13378475,"Provincia Norte"
relation,3663636,Q13378476,"Provincia Sul"
relation,4224784,Q2411947,"Rio Corubal"
relation,4228635,Q201520,"Rio Geba"
relation,5582255,Q2445908,"Rio Cacheu"
relation,5608500,Q1432281,"Aeroporto internacional Osvaldo Vieira"
relation,5653031,Q10361613,"Rio Buba"
relation,8081327,Q664687,"Arquipélago dos Bijagós"
relation,8333069,Q54555780,"Escola católica Maria Montessari"
relation,8438627,Q7899538,"Ilha Uracão"
